,Company,Valuation ($B),Date Joined,Country,City,Industry,Select Investors,Year Joined,Investor_1,Investor_2,Investor_3,Investor_4
147,Hopper,5.0,2021-03-24,Canada,Montreal,Consumer & Retail,"Capital One Growth Ventures, Citi Ventures, OMERS Ventures",2021,Capital One Growth Ventures, Citi Ventures, OMERS Ventures,
148,VerSe Innovation,5.0,2020-12-22,India,Bengaluru,Media & Entertainment,"Falcon Edge Capital, Omidyar Network, Sequoia Capital India",2020,Falcon Edge Capital, Omidyar Network, Sequoia Capital India,
149,Lenskart,5.0,2019-12-20,India,Faridabad,Consumer & Retail,"Chiratae Ventures, PremjiInvest, Softbank",2019,Chiratae Ventures, PremjiInvest, Softbank,
150,ShareChat,5.0,2021-04-08,India,Bengaluru,Media & Entertainment,"India Quotient, Elevation Capital, Lightspeed Venture Partners",2021,India Quotient, Elevation Capital, Lightspeed Venture Partners,
151,Coalition,5.0,2021-03-17,United States,San Francisco,Insurance,"Two Sigma Ventures, Flint Capital, Commerce Ventures",2021,Two Sigma Ventures, Flint Capital, Commerce Ventures,
152,Zepto,4.94,2023-08-25,India,Mumbai,Consumer & Retail,"Nexus Venture Partners, Contrary, Global Founders Capital",2023,Nexus Venture Partners, Contrary, Global Founders Capital,
153,Meesho,3.5,2021-04-05,India,Bengaluru,Consumer & Retail,"Venture Highway, Sequoia Capital India, Prosus Ventures",2021,Venture Highway, Sequoia Capital India, Prosus Ventures,
154,Cerebral,4.8,2021-06-10,United States,San Francisco,Healthcare & Life Sciences,"Oak HC/FT Partners, Artis Ventures, WestCap Group",2021,Oak HC/FT Partners, Artis Ventures, WestCap Group,
155,Reify Health,4.8,2021-08-10,United States,Boston,Healthcare & Life Sciences,"Sierra Ventures, Battery Ventures, Asset Management Ventures",2021,Sierra Ventures, Battery Ventures, Asset Management Ventures,
156,Chipone,4.73,2021-12-16,China,Beijing,Industrials,"China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment",2021,China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment,
157,BetterUp,4.7,2021-02-25,United States,San Francisco,Enterprise Tech,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital",2021,Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital,
158,Pleo,4.7,2021-07-06,Denmark,Copenhagen,Enterprise Tech,"Creandum, Founders, Kinnevik",2021,Creandum, Founders, Kinnevik,
159,SonarSource,4.7,2022-04-26,Switzerland,Geneva,Enterprise Tech,"Advent International,General Catalyst,Insight Partners",2022,Advent International,General Catalyst,Insight Partners,
160,Lyra Health,5.85,2020-08-25,United States,Burlingame,Healthcare & Life Sciences,"Greylock Partners, Venrock, Providence Ventures",2020,Greylock Partners, Venrock, Providence Ventures,
161,Checkr,4.6,2019-09-19,United States,San Francisco,Enterprise Tech,"Y Combinator, Accel, T. Rowe Price",2019,Y Combinator, Accel, T. Rowe Price,
162,Glean,4.6,2022-05-18,United States,Palo Alto,Enterprise Tech,"General Catalyst, Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners",2022,General Catalyst, Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners,
163,Skims,4.0,2021-04-09,United States,Los Angeles,Consumer & Retail,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures",2021,Thrive Capital, Alliance Consumer Growth, Imaginary Ventures,
164,Color,4.6,2021-01-04,United States,Burlingame,Healthcare & Life Sciences,"General Catalyst, Viking Global Investors, T. Rowe Price",2021,General Catalyst, Viking Global Investors, T. Rowe Price,
165,Lendable,4.58,2021-03-31,United Kingdom,London,Financial Services,"Ontario Teachers' Pension Plan, Goldman Sachs",2021,Ontario Teachers' Pension Plan, Goldman Sachs,,
166,Vinted,4.53,2019-11-27,Lithuania,Vilnius,Consumer & Retail,"Accel, Insight Partners, Burda Principal Investments",2019,Accel, Insight Partners, Burda Principal Investments,
167,VIPKid,4.5,2016-08-04,China,Beijing,Consumer & Retail,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures",2016,Sequoia Capital China, Tencent Holdings, Sinovation Ventures,
168,Socure,4.5,2021-03-16,United States,New York,Financial Services,"Two Sigma Ventures, Flint Capital, Commerce Ventures",2021,Two Sigma Ventures, Flint Capital, Commerce Ventures,
169,wefox,4.5,2019-03-05,Germany,Berlin,Insurance,"Salesforce Ventures, Seedcamp, OMERS Ventures",2019,Salesforce Ventures, Seedcamp, OMERS Ventures,
170,Hugging Face,4.5,2022-05-09,United States,New York,Enterprise Tech,"Betaworks Ventures, Addition, Lux Capital",2022,Betaworks Ventures, Addition, Lux Capital,
171,Outreach,4.4,2019-04-16,United States,Seattle,Enterprise Tech,"Mayfield Fund, M12, Trinity Ventures",2019,Mayfield Fund, M12, Trinity Ventures,
172,Alan,4.46,2021-04-19,France,Paris,Healthcare & Life Sciences,"Index Ventures, Temasek, Portag3 Ventures",2021,Index Ventures, Temasek, Portag3 Ventures,
173,WeRide,4.4,2020-12-23,China,Guangzhou,Industrials,"Atop Capital, IDInvest Partners, Qiming Venture Partners",2020,Atop Capital, IDInvest Partners, Qiming Venture Partners,
174,Guild Education,4.4,2019-11-13,United States,Denver,Enterprise Tech,"General Atlantic, Blackstone, ICONIQ Growth",2019,General Atlantic, Blackstone, ICONIQ Growth,
175,Arctic Wolf Networks,4.3,2020-10-22,United States,Eden Prairie,Enterprise Tech,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors",2020,Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors,
176,OutSystems,4.3,2018-06-05,United States,Boston,Enterprise Tech,"KKR, ES Ventures, North Bridge Growth Equity",2018,KKR, ES Ventures, North Bridge Growth Equity,
177,Sorare,4.3,2021-09-21,France,Paris,Media & Entertainment,"Benchmark, Accel, SoftBank Group",2021,Benchmark, Accel, SoftBank Group,
178,Zipline,4.2,2019-05-20,United States,South San Francisco,Industrials,"Sequoia Capital, Baillie Gifford & Co., Google Ventures",2019,Sequoia Capital, Baillie Gifford & Co., Google Ventures,
179,Relativity,4.2,2020-11-23,United States,Inglewood,Industrials,"Playground Global, Bond, Tribe Capital",2020,Playground Global, Bond, Tribe Capital,
180,Miaoshou Doctor,4.25,2019-06-27,China,Beijing,Healthcare & Life Sciences,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings",2019,Sequoia Capital China, Qiming Venture Partners, Tencent Holdings,
181,ThoughtSpot,4.2,2018-05-08,United States,Sunnyvale,Enterprise Tech,"Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital",2018,Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital,
182,Globalization Partners,4.2,2022-01-24,United States,Boston,Enterprise Tech,"Vista Equity Partners, Wincove, TDR Capital",2022,Vista Equity Partners, Wincove, TDR Capital,
